Instance type,Instance family,Instance size,Availability zones,Free-Tier eligible,Free Trial available,Bare metal,Hypervisor,vCPUs,Architecture,Cores,Valid cores,Threads per core,Valid threads per core,Sustained clock speed (GHz),Memory (GiB),Storage (GB),Local instance storage,Storage type,Storage disk count,EBS encryption support,EBS optimization support,Network performance,ENA support,Maximum number of network interfaces,IPv4 addresses per interface,IPv6 addresses per interface,IPv6 support,Supported placement group strategies,GPUs,FPGAs,Auto Recovery support,Supported root device types,Dedicated Host support,On-Demand Hibernation support,Burstable Performance support,Current generation,ENA Express support,On-Demand Windows pricing,On-Demand Linux pricing,On-Demand SUSE pricing,On-Demand RHEL pricing,On-Demand ap-northeast-1-tpe-1 Windows pricing,On-Demand ap-northeast-1-tpe-1 SUSE pricing,On-Demand ap-northeast-1-tpe-1 RHEL pricing,On-Demand ap-northeast-1-tpe-1 Linux pricing
t3.small,t3,small,"ap-northeast-1c, ap-northeast-1a, ap-northeast-1d",false,false,false,nitro,2,x86_64,1,1,2,"1,2",2.5,2,-,-,-,-,supported,default,Up to 5 Gigabit,required,3,4,4,true,"partition, spread",-,-,true,ebs,true,true,true,true,false,0.0456 USD per Hour,0.0272 USD per Hour,0.0582 USD per Hour,0.0872 USD per Hour,,,,
t3.medium,t3,medium,"ap-northeast-1a, ap-northeast-1d, ap-northeast-1c",false,false,false,nitro,2,x86_64,1,1,2,"1,2",2.5,4,-,-,-,-,supported,default,Up to 5 Gigabit,required,3,6,6,true,"partition, spread",-,-,true,ebs,true,true,true,true,false,0.0728 USD per Hour,0.0544 USD per Hour,0.1107 USD per Hour,0.1144 USD per Hour,0.0864 USD per Hour,0.1243 USD per Hour,0.128 USD per Hour,0.068 USD per Hour
t3.large,t3,large,"ap-northeast-1a, ap-northeast-1c, ap-northeast-1d",false,false,false,nitro,2,x86_64,1,1,2,"1,2",2.5,8,-,-,-,-,supported,default,Up to 5 Gigabit,required,3,12,12,true,"partition, spread",-,-,true,ebs,true,true,true,true,false,0.1364 USD per Hour,0.1088 USD per Hour,0.1651 USD per Hour,0.1688 USD per Hour,,,,
t3.xlarge,t3,xlarge,"ap-northeast-1c, ap-northeast-1d, ap-northeast-1a",false,false,false,nitro,4,x86_64,2,2,2,"1,2",2.5,16,-,-,-,-,supported,default,Up to 5 Gigabit,required,4,15,15,true,"partition, spread",-,-,true,ebs,true,true,true,true,false,0.2912 USD per Hour,0.2176 USD per Hour,0.2739 USD per Hour,0.2776 USD per Hour,0.3456 USD per Hour,0.3283 USD per Hour,0.332 USD per Hour,0.272 USD per Hour
t3.2xlarge,t3,2xlarge,"ap-northeast-1c, ap-northeast-1a, ap-northeast-1d",false,false,false,nitro,8,x86_64,4,"2,4",2,"1,2",2.5,32,-,-,-,-,supported,default,Up to 5 Gigabit,required,4,15,15,true,"partition, spread",-,-,true,ebs,true,true,true,true,false,0.5824 USD per Hour,0.4352 USD per Hour,0.5602 USD per Hour,0.5652 USD per Hour,,,,
a1.medium,a1,medium,"ap-northeast-1a, ap-northeast-1d",false,false,false,nitro,1,arm64,1,-,1,-,2.3,2,-,-,-,-,supported,default,Up to 10 Gigabit,required,2,4,4,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,false,false,,0.0321 USD per Hour,0.0631 USD per Hour,0.0921 USD per Hour,,,,
a1.large,a1,large,"ap-northeast-1d, ap-northeast-1a",false,false,false,nitro,2,arm64,2,-,1,-,2.3,4,-,-,-,-,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,false,false,,0.0642 USD per Hour,0.1205 USD per Hour,0.1242 USD per Hour,,,,
a1.xlarge,a1,xlarge,"ap-northeast-1a, ap-northeast-1d",false,false,false,nitro,4,arm64,4,-,1,-,2.3,8,-,-,-,-,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,false,false,,0.1284 USD per Hour,0.1847 USD per Hour,0.1884 USD per Hour,,,,
a1.2xlarge,a1,2xlarge,"ap-northeast-1d, ap-northeast-1a",false,false,false,nitro,8,arm64,8,-,1,-,2.3,16,-,-,-,-,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,false,false,,0.2568 USD per Hour,0.3818 USD per Hour,0.3868 USD per Hour,,,,
a1.4xlarge,a1,4xlarge,"ap-northeast-1a, ap-northeast-1d",false,false,false,nitro,16,arm64,16,-,1,-,2.3,32,-,-,-,-,supported,default,Up to 10 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,false,false,,0.5136 USD per Hour,0.6386 USD per Hour,0.6436 USD per Hour,,,,
a1.metal,a1,metal,"ap-northeast-1d, ap-northeast-1a",false,false,true,,16,arm64,16,-,1,-,2.3,32,-,-,-,-,supported,default,Up to 10 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,false,false,,0.514 USD per Hour,0.639 USD per Hour,0.644 USD per Hour,,,,
c1.medium,c1,medium,"ap-northeast-1a, ap-northeast-1c",false,false,false,xen,2,"i386, x86_64",2,-,1,-,,1.7,350,true,hdd,1,supported,unsupported,Moderate,unsupported,2,6,-,-,"partition, spread",-,-,-,"ebs, instance-store",-,-,-,false,false,0.258 USD per Hour,0.158 USD per Hour,0.258 USD per Hour,0.218 USD per Hour,,,,
c1.xlarge,c1,xlarge,"ap-northeast-1c, ap-northeast-1a",false,false,false,xen,8,x86_64,8,-,1,-,,7,1680,true,hdd,4,supported,supported,High,unsupported,4,15,-,-,"partition, spread",-,-,-,"ebs, instance-store",-,-,-,false,false,1.032 USD per Hour,0.632 USD per Hour,0.732 USD per Hour,0.762 USD per Hour,,,,
c3.large,c3,large,"ap-northeast-1c, ap-northeast-1a",false,false,false,xen,2,"i386, x86_64",1,1,2,"1,2",2.8,3.75,32,true,ssd,2,supported,unsupported,Moderate,unsupported,3,10,10,true,"cluster, partition, spread",-,-,true,"ebs, instance-store",true,true,-,false,false,0.231 USD per Hour,0.128 USD per Hour,0.228 USD per Hour,0.188 USD per Hour,,,,
c3.xlarge,c3,xlarge,"ap-northeast-1c, ap-northeast-1a",false,false,false,xen,4,x86_64,2,"1,2",2,"1,2",2.8,7.5,80,true,ssd,2,supported,supported,Moderate,unsupported,4,15,15,true,"cluster, partition, spread",-,-,true,"ebs, instance-store",true,true,-,false,false,0.462 USD per Hour,0.255 USD per Hour,0.355 USD per Hour,0.315 USD per Hour,,,,
c3.2xlarge,c3,2xlarge,"ap-northeast-1c, ap-northeast-1a",false,false,false,xen,8,x86_64,4,"1,2,3,4",2,"1,2",2.8,15,160,true,ssd,2,supported,supported,High,unsupported,4,15,15,true,"cluster, partition, spread",-,-,true,"ebs, instance-store",true,true,-,false,false,0.925 USD per Hour,0.511 USD per Hour,0.611 USD per Hour,0.641 USD per Hour,,,,
c3.4xlarge,c3,4xlarge,"ap-northeast-1c, ap-northeast-1a",false,false,false,xen,16,x86_64,8,"1,2,3,4,5,6,7,8",2,"1,2",2.8,30,320,true,ssd,2,supported,supported,High,unsupported,8,30,30,true,"cluster, partition, spread",-,-,true,"ebs, instance-store",true,true,-,false,false,1.849 USD per Hour,1.021 USD per Hour,1.121 USD per Hour,1.151 USD per Hour,,,,
c3.8xlarge,c3,8xlarge,"ap-northeast-1c, ap-northeast-1a",false,false,false,xen,32,x86_64,16,"2,4,6,8,10,12,14,16",2,"1,2",2.8,60,640,true,ssd,2,supported,unsupported,10 Gigabit,unsupported,8,30,30,true,"cluster, partition, spread",-,-,true,"ebs, instance-store",true,true,-,false,false,3.699 USD per Hour,2.043 USD per Hour,2.143 USD per Hour,2.173 USD per Hour,,,,
c4.large,c4,large,"ap-northeast-1a, ap-northeast-1d, ap-northeast-1c",false,false,false,xen,2,x86_64,1,1,2,"1,2",2.9,3.75,-,-,-,-,supported,default,Moderate,unsupported,3,10,10,true,"cluster, partition, spread",-,-,true,ebs,true,true,-,true,false,0.218 USD per Hour,0.126 USD per Hour,0.226 USD per Hour,0.186 USD per Hour,,,,
c4.xlarge,c4,xlarge,"ap-northeast-1d, ap-northeast-1c, ap-northeast-1a",false,false,false,xen,4,x86_64,2,"1,2",2,"1,2",2.9,7.5,-,-,-,-,supported,default,High,unsupported,4,15,15,true,"cluster, partition, spread",-,-,true,ebs,true,true,-,true,false,0.436 USD per Hour,0.252 USD per Hour,0.352 USD per Hour,0.312 USD per Hour,,,,
c4.2xlarge,c4,2xlarge,"ap-northeast-1a, ap-northeast-1d, ap-northeast-1c",false,false,false,xen,8,x86_64,4,"1,2,3,4",2,"1,2",2.9,15,-,-,-,-,supported,default,High,unsupported,4,15,15,true,"cluster, partition, spread",-,-,true,ebs,true,true,-,true,false,0.872 USD per Hour,0.504 USD per Hour,0.604 USD per Hour,0.634 USD per Hour,,,,
c4.4xlarge,c4,4xlarge,"ap-northeast-1d, ap-northeast-1a, ap-northeast-1c",false,false,false,xen,16,x86_64,8,"1,2,3,4,5,6,7,8",2,"1,2",2.9,30,-,-,-,-,supported,default,High,unsupported,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,true,-,true,false,1.744 USD per Hour,1.008 USD per Hour,1.108 USD per Hour,1.138 USD per Hour,,,,
c4.8xlarge,c4,8xlarge,"ap-northeast-1d, ap-northeast-1c, ap-northeast-1a",false,false,false,xen,36,x86_64,18,"2,4,6,8,10,12,14,16,18",2,"1,2",2.9,60,-,-,-,-,supported,default,10 Gigabit,unsupported,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,true,-,true,false,3.672 USD per Hour,2.016 USD per Hour,2.116 USD per Hour,2.146 USD per Hour,,,,
c5.large,c5,large,"ap-northeast-1c, ap-northeast-1d, ap-northeast-1a",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.4,4,-,-,-,-,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",-,-,true,ebs,true,true,-,true,false,0.199 USD per Hour,0.107 USD per Hour,0.163 USD per Hour,0.167 USD per Hour,,,,
c5.xlarge,c5,xlarge,"ap-northeast-1a, ap-northeast-1d, ap-northeast-1c",false,false,false,nitro,4,x86_64,2,2,2,"1,2",3.4,8,-,-,-,-,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,true,ebs,true,true,-,true,false,0.398 USD per Hour,0.214 USD per Hour,0.27 USD per Hour,0.274 USD per Hour,,,,
c5.2xlarge,c5,2xlarge,"ap-northeast-1c, ap-northeast-1a, ap-northeast-1d",false,false,false,nitro,8,x86_64,4,"2,4",2,"1,2",3.4,16,-,-,-,-,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,true,ebs,true,true,-,true,false,0.796 USD per Hour,0.428 USD per Hour,0.528 USD per Hour,0.558 USD per Hour,0.903 USD per Hour,0.66 USD per Hour,0.665 USD per Hour,0.535 USD per Hour
c5.4xlarge,c5,4xlarge,"ap-northeast-1d, ap-northeast-1a, ap-northeast-1c",false,false,false,nitro,16,x86_64,8,"2,4,6,8",2,"1,2",3.4,32,-,-,-,-,supported,default,Up to 10 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,true,-,true,false,1.592 USD per Hour,0.856 USD per Hour,0.956 USD per Hour,0.986 USD per Hour,,,,
c5.9xlarge,c5,9xlarge,"ap-northeast-1c, ap-northeast-1a, ap-northeast-1d",false,false,false,nitro,36,x86_64,18,"2,4,6,8,10,12,14,16,18",2,"1,2",3.4,72,-,-,-,-,supported,default,12 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,true,-,true,false,3.582 USD per Hour,1.926 USD per Hour,2.026 USD per Hour,2.056 USD per Hour,,,,
c5.12xlarge,c5,12xlarge,"ap-northeast-1d, ap-northeast-1c, ap-northeast-1a",false,false,false,nitro,48,x86_64,24,"2,4,6,8,10,12,14,16,18,20,22,24",2,"1,2",3.6,96,-,-,-,-,supported,default,12 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,-,true,-,true,false,4.776 USD per Hour,2.568 USD per Hour,2.668 USD per Hour,2.698 USD per Hour,5.418 USD per Hour,3.335 USD per Hour,3.34 USD per Hour,3.21 USD per Hour
c5.18xlarge,c5,18xlarge,"ap-northeast-1d, ap-northeast-1a, ap-northeast-1c",false,false,false,nitro,72,x86_64,36,"4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36",2,"1,2",3.4,144,-,-,-,-,supported,default,25 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,true,ebs,true,true,-,true,false,7.164 USD per Hour,3.852 USD per Hour,3.952 USD per Hour,3.982 USD per Hour,,,,
c5.24xlarge,c5,24xlarge,"ap-northeast-1d, ap-northeast-1a, ap-northeast-1c",false,false,false,nitro,96,x86_64,48,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48",2,"1,2",3.6,192,-,-,-,-,supported,default,25 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,true,ebs,-,-,-,true,false,9.552 USD per Hour,5.136 USD per Hour,5.236 USD per Hour,5.266 USD per Hour,,,,
c5.metal,c5,metal,"ap-northeast-1d, ap-northeast-1a, ap-northeast-1c",false,false,true,,96,x86_64,48,-,2,-,3.6,192,-,-,-,-,supported,default,25 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,true,ebs,-,-,-,true,false,9.552 USD per Hour,5.136 USD per Hour,5.236 USD per Hour,5.266 USD per Hour,,,,
c5a.large,c5a,large,"ap-northeast-1a, ap-northeast-1c",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.3,4,-,-,-,-,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",-,-,true,ebs,-,-,-,true,false,0.188 USD per Hour,0.096 USD per Hour,0.152 USD per Hour,0.156 USD per Hour,,,,
c5a.xlarge,c5a,xlarge,"ap-northeast-1a, ap-northeast-1c",false,false,false,nitro,4,x86_64,2,"1,2",2,"1,2",3.3,8,-,-,-,-,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,true,ebs,-,-,-,true,false,0.376 USD per Hour,0.192 USD per Hour,0.248 USD per Hour,0.252 USD per Hour,,,,
c5a.2xlarge,c5a,2xlarge,"ap-northeast-1c, ap-northeast-1a",false,false,false,nitro,8,x86_64,4,"1,2,3,4",2,"1,2",3.3,16,-,-,-,-,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,true,ebs,-,-,-,true,false,0.752 USD per Hour,0.384 USD per Hour,0.509 USD per Hour,0.514 USD per Hour,,,,
c5a.4xlarge,c5a,4xlarge,"ap-northeast-1a, ap-northeast-1c",false,false,false,nitro,16,x86_64,8,"1,2,3,4,8",2,"1,2",3.3,32,-,-,-,-,supported,default,Up to 10 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,-,-,-,true,false,1.504 USD per Hour,0.768 USD per Hour,0.893 USD per Hour,0.898 USD per Hour,,,,
c5a.8xlarge,c5a,8xlarge,"ap-northeast-1a, ap-northeast-1c",false,false,false,nitro,32,x86_64,16,"1,2,3,4,8,12,16",2,"1,2",3.3,64,-,-,-,-,supported,default,10 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,-,-,-,true,false,3.008 USD per Hour,1.536 USD per Hour,1.661 USD per Hour,1.666 USD per Hour,,,,
c5a.12xlarge,c5a,12xlarge,"ap-northeast-1c, ap-northeast-1a",false,false,false,nitro,48,x86_64,24,"1,2,3,4,8,12,16,20,24",2,"1,2",3.3,96,-,-,-,-,supported,default,12 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,-,-,-,true,false,4.512 USD per Hour,2.304 USD per Hour,2.429 USD per Hour,2.434 USD per Hour,,,,
c5a.16xlarge,c5a,16xlarge,"ap-northeast-1c, ap-northeast-1a",false,false,false,nitro,64,x86_64,32,"1,2,3,4,8,12,16,20,24,28,32",2,"1,2",3.3,128,-,-,-,-,supported,default,20 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,true,ebs,-,-,-,true,false,6.016 USD per Hour,3.072 USD per Hour,3.197 USD per Hour,3.202 USD per Hour,,,,
c5a.24xlarge,c5a,24xlarge,"ap-northeast-1c, ap-northeast-1a",false,false,false,nitro,96,x86_64,48,"1,2,3,4,8,12,16,20,24,28,32,36,40,44,48",2,"1,2",3.3,192,-,-,-,-,supported,default,20 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,true,ebs,-,-,-,true,false,9.024 USD per Hour,4.608 USD per Hour,4.733 USD per Hour,4.738 USD per Hour,,,,
c5d.large,c5d,large,"ap-northeast-1d, ap-northeast-1c, ap-northeast-1a",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.4,4,50,true,ssd,1,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",-,-,-,ebs,true,true,-,true,false,0.214 USD per Hour,0.122 USD per Hour,0.178 USD per Hour,0.182 USD per Hour,,,,
c5d.xlarge,c5d,xlarge,"ap-northeast-1a, ap-northeast-1d, ap-northeast-1c",false,false,false,nitro,4,x86_64,2,2,2,"1,2",3.4,8,100,true,ssd,1,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,-,ebs,true,true,-,true,false,0.428 USD per Hour,0.244 USD per Hour,0.3 USD per Hour,0.304 USD per Hour,,,,
c5d.2xlarge,c5d,2xlarge,"ap-northeast-1a, ap-northeast-1c, ap-northeast-1d",false,false,false,nitro,8,x86_64,4,"2,4",2,"1,2",3.4,16,200,true,ssd,1,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,-,ebs,true,true,-,true,false,0.856 USD per Hour,0.488 USD per Hour,0.588 USD per Hour,0.618 USD per Hour,,,,
c5d.4xlarge,c5d,4xlarge,"ap-northeast-1c, ap-northeast-1d, ap-northeast-1a",false,false,false,nitro,16,x86_64,8,"2,4,6,8",2,"1,2",3.4,32,400,true,ssd,1,supported,default,Up to 10 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,-,ebs,true,true,-,true,false,1.712 USD per Hour,0.976 USD per Hour,1.076 USD per Hour,1.106 USD per Hour,,,,
c5d.9xlarge,c5d,9xlarge,"ap-northeast-1c, ap-northeast-1d, ap-northeast-1a",false,false,false,nitro,36,x86_64,18,"2,4,6,8,10,12,14,16,18",2,"1,2",3.4,72,900,true,ssd,1,supported,default,12 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,-,ebs,true,true,-,true,false,3.852 USD per Hour,2.196 USD per Hour,2.296 USD per Hour,2.326 USD per Hour,,,,
c5d.12xlarge,c5d,12xlarge,"ap-northeast-1c, ap-northeast-1a, ap-northeast-1d",false,false,false,nitro,48,x86_64,24,"2,4,6,8,10,12,14,16,18,20,22,24",2,"1,2",3.6,96,1800,true,ssd,2,supported,default,12 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,-,ebs,-,true,-,true,false,5.136 USD per Hour,2.928 USD per Hour,3.028 USD per Hour,3.058 USD per Hour,,,,
c5d.18xlarge,c5d,18xlarge,"ap-northeast-1a, ap-northeast-1d, ap-northeast-1c",false,false,false,nitro,72,x86_64,36,"4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36",2,"1,2",3.4,144,1800,true,ssd,2,supported,default,25 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,-,ebs,true,true,-,true,false,7.704 USD per Hour,4.392 USD per Hour,4.492 USD per Hour,4.522 USD per Hour,,,,
c5d.24xlarge,c5d,24xlarge,"ap-northeast-1c, ap-northeast-1d, ap-northeast-1a",false,false,false,nitro,96,x86_64,48,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48",2,"1,2",3.6,192,3600,true,ssd,4,supported,default,25 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,-,ebs,-,-,-,true,false,10.272 USD per Hour,5.856 USD per Hour,5.956 USD per Hour,5.986 USD per Hour,,,,
c5d.metal,c5d,metal,"ap-northeast-1a, ap-northeast-1d, ap-northeast-1c",false,false,true,,96,x86_64,48,-,2,-,3.6,192,3600,true,ssd,4,supported,default,25 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,-,ebs,-,-,-,true,false,10.272 USD per Hour,5.856 USD per Hour,5.956 USD per Hour,5.986 USD per Hour,,,,
c5n.large,c5n,large,"ap-northeast-1d, ap-northeast-1a, ap-northeast-1c",false,false,false,nitro,2,x86_64,1,1,2,"1,2",3.4,5.3,-,-,-,-,supported,default,Up to 25 Gigabit,required,3,10,10,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,0.228 USD per Hour,0.136 USD per Hour,0.192 USD per Hour,0.196 USD per Hour,,,,
c5n.xlarge,c5n,xlarge,"ap-northeast-1d, ap-northeast-1a, ap-northeast-1c",false,false,false,nitro,4,x86_64,2,2,2,"1,2",3.4,10.5,-,-,-,-,supported,default,Up to 25 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,0.456 USD per Hour,0.272 USD per Hour,0.328 USD per Hour,0.332 USD per Hour,,,,
c5n.2xlarge,c5n,2xlarge,"ap-northeast-1c, ap-northeast-1a, ap-northeast-1d",false,false,false,nitro,8,x86_64,4,"2,4",2,"1,2",3.4,21,-,-,-,-,supported,default,Up to 25 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,0.912 USD per Hour,0.544 USD per Hour,0.669 USD per Hour,0.674 USD per Hour,,,,
c5n.4xlarge,c5n,4xlarge,"ap-northeast-1a, ap-northeast-1d, ap-northeast-1c",false,false,false,nitro,16,x86_64,8,"2,4,6,8",2,"1,2",3.4,42,-,-,-,-,supported,default,Up to 25 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,1.824 USD per Hour,1.088 USD per Hour,1.213 USD per Hour,1.218 USD per Hour,,,,
c5n.9xlarge,c5n,9xlarge,"ap-northeast-1c, ap-northeast-1a, ap-northeast-1d",false,false,false,nitro,36,x86_64,18,"2,4,6,8,10,12,14,16,18",2,"1,2",3.4,96,-,-,-,-,supported,default,50 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,4.104 USD per Hour,2.448 USD per Hour,2.573 USD per Hour,2.578 USD per Hour,,,,
c5n.18xlarge,c5n,18xlarge,"ap-northeast-1d, ap-northeast-1a, ap-northeast-1c",false,false,false,nitro,72,x86_64,36,"4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36",2,"1,2",3.4,192,-,-,-,-,supported,default,100 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,false,8.208 USD per Hour,4.896 USD per Hour,5.021 USD per Hour,5.026 USD per Hour,,,,
